param begin_PLACE   := 1;
param end_PLACE     := 25;
param begin_CLUSTER := 0;
param end_CLUSTER   := 2;
param begin_DIMENSION := 1;
param end_DIMENSION   := 2;
param instance        := 2;

param d := 2;

param n_individuals := 25;

param a: 1 2 :=
1    600.0000     300.0000
2    300.0000     400.0000
3    300.0000     200.0000
4    300.0000     100.0000
5    400.0000     100.0000
6    350.0000     150.0000
7    100.0000     200.0000
8    200.0000     200.0000
9    400.0000     200.0000
10   500.0000     200.0000
11   600.0000     200.0000
12   100.0000     300.0000
13   200.0000     300.0000
14   300.0000     300.0000
15   400.0000     300.0000
16   500.0000     300.0000
17   100.0000     400.0000
18   200.0000     400.0000
19   400.0000     400.0000
20   500.0000     400.0000
21   600.0000     400.0000
22   200.0000     500.0000
23   300.0000     500.0000
24   400.0000     500.0000
25   500.0000     500.0000;

param demands := 
	1 1
	2 1
	3 1
	4 1
	5 1
	6 1
	7 1
	8 1
	9 1
	10 1
	11 1
	12 1
	13 1
	14 1
	15 1
	16 1
	17 1
	18 1
	19 1
	20 1
	21 1
	22 1
	23 1
	24 1
	25 1
;

param p := 3;

param	Q:= 
1	6
2	9
3	10;
